observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	experimentName	replicateId	useData
open_probability		Ca_dose_response__2	0.006999999999999999	0.56		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__2	0.005	0.63		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__2	0.006	0.7		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__2	0.008	0.77		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__2	0.005	0.84		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__2	0.017	0.91		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__2	0.015	0.98		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__3	0.008	0.0		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__3	0.327	0.07		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__3	0.297	0.14		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__3	0.189	0.21		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__3	0.121	0.28		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__3	0.084	0.35		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__3	0.057	0.42		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__3	0.047	0.49		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__3	0.04	0.56		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__3	0.039	0.63		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__3	0.036000000000000004	0.7		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__3	0.03	0.77		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__3	0.024	0.84		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__3	0.024	0.91		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__3	0.026	0.98		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__4	0.012	0.0		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__4	0.253	0.07		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__4	0.214	0.14		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__4	0.109	0.21		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__4	0.047	0.28		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__4	0.022	0.35		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__4	0.016	0.42		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__4	0.013	0.49		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__4	0.012	0.56		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__4	0.012	0.63		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__4	0.012	0.7		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__4	0.012	0.77		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__4	0.012	0.84		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__4	0.004	0.91		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__4	0.005	0.98		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__5	0.052000000000000005	0.0		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__5	0.238	0.07		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__5	0.17800000000000002	0.14		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__5	0.095	0.21		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__5	0.062	0.28		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__5	0.035	0.35		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__5	0.026	0.42		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__5	0.019	0.49		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__5	0.016	0.56		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__5	0.018000000000000002	0.63		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__5	0.008	0.7		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__5	0.005	0.77		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__5	0.01	0.84		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__5	0.011	0.91		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__5	0.006999999999999999	0.98		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__6	0.014	0.0		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__6	0.185	0.07		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__6	0.17600000000000002	0.14		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__6	0.141	0.21		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__6	0.087	0.28		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__6	0.049	0.35		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__6	0.036000000000000004	0.42		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__6	0.025	0.49		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__6	0.018000000000000002	0.56		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__6	0.012	0.63		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__6	0.014	0.7		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__6	0.009000000000000001	0.77		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__6	0.01	0.84		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__6	0.014	0.91		sigma	Ca^{2+} response	1	True
open_probability		Ca_dose_response__6	0.013	0.98		sigma	Ca^{2+} response	1	True
open_probability		IP3_dose_response__1	0.005	0.0		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__1	0.015	0.07		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__1	0.073	0.14		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__1	0.102	0.21		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__1	0.102	0.28		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__1	0.09	0.35		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__1	0.084	0.42		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__1	0.071	0.49		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__1	0.06	0.56		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__1	0.056	0.63		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__1	0.051	0.7		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__1	0.052000000000000005	0.77		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__1	0.049	0.84		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__1	0.051	0.91		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__1	0.042	0.98		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__2	0.0	0.0		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__2	0.129	0.07		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__2	0.263	0.14		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__2	0.187	0.21		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__2	0.119	0.28		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__2	0.084	0.35		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__2	0.066	0.42		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__2	0.058	0.49		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__2	0.047	0.56		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__2	0.047	0.63		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__2	0.047	0.7		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__2	0.037000000000000005	0.77		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__2	0.033	0.84		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__2	0.027000000000000003	0.91		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__2	0.028	0.98		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__3	0.014	0.0		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__3	0.202	0.07		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__3	0.337	0.14		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__3	0.231	0.21		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__3	0.142	0.28		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__3	0.094	0.35		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__3	0.067	0.42		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__3	0.06	0.49		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__3	0.05	0.56		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__3	0.043	0.63		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__3	0.038	0.7		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__3	0.031	0.77		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__3	0.027000000000000003	0.84		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__3	0.025	0.91		sigma	IP_3 response	1	True
open_probability		IP3_dose_response__3	0.026	0.98		sigma	IP_3 response	1	True
